BARCODE	CELLS_PER_WELL	PROJECT_CODE	FLASK_BARCODE	CELL_LINE	MEDIA	DATE_CREATED	Compound Plate Map Name	PosCon Plate Map Name	Amplification name	Amplified (Y/N)	Detection name	Detected (Y/N)	12 pool amplification name	12 pool detection name
SCW0112710	1250	7159	ztf00032457	P913	RPMI001	Thu Feb  4 09:19:45 2016	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X2	PREP002_P8_X2	
SCW0112711	1250	7159	ztf00032457	P913	RPMI001	Thu Feb  4 09:19:45 2016	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X3	PREP002_P8_X3	
SCW0111381	1250	7159	ztf00032456	P914	RPMI001	Thu Feb  4 10:13:48 2016	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X1	PREP002_P8_X1	
SCW0111389	1250	7159	ztf00032456	P914	RPMI001	Thu Feb  4 10:13:48 2016	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X2	PREP002_P8_X2	
SCW0111390	1250	7159	ztf00032456	P914	RPMI001	Thu Feb  4 10:13:48 2016	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X3	PREP002_P8_X3	
SCW0109461	1250	7159	ztf00032455	P915	RPMI001	Thu Feb  4 11:03:11 2016	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X1	PREP002_P8_X1	
SCW0112749	1250	7159	ztf00032455	P915	RPMI001	Thu Feb  4 11:03:11 2016	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X2	PREP002_P8_X2	
SCW0112750	1250	7159	ztf00032455	P915	RPMI001	Thu Feb  4 11:03:11 2016	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X3	PREP002_P8_X3	
SCW0112305	1250	7159	ZTF00032454	P916	RPMI001	2016-02-10 09:25:55 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X1	PREP002_P8_X1	
SCW0112306	1250	7159	ZTF00032454	P916	RPMI001	2016-02-10 09:25:55 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X2	PREP002_P8_X2	
SCW0112307	1250	7159	ZTF00032454	P916	RPMI001	2016-02-10 09:25:55 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X3	PREP002_P8_X3	
SCW0112325	1250	7159	ZTF00032452	P917	RPMI001	2016-02-10 11:10:28 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X1	PREP002_P8_X1	
SCW0112326	1250	7159	ZTF00032452	P917	RPMI001	2016-02-10 11:10:28 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X2	PREP002_P8_X2	
SCW0112327	1250	7159	ZTF00032452	P917	RPMI001	2016-02-10 11:10:28 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X3	PREP002_P8_X3	
SCW0112345	1250	7159	ZTF00032451	P918	RPMI001	2016-02-10 11:05:15 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X1	PREP002_P8_X1	
SCW0112346	1250	7159	ZTF00032451	P918	RPMI001	2016-02-10 11:05:15 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X2	PREP002_P8_X2	
SCW0112347	1250	7159	ZTF00032451	P918	RPMI001	2016-02-10 11:05:15 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X3	PREP002_P8_X3	
SCW0112605	1250	7159	ZTF00032450	P919	RPMI001	2016-02-11 09:19:44 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X1	PREP002_P8_X1	
SCW0112606	1250	7159	ZTF00032450	P919	RPMI001	2016-02-11 09:19:44 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X2	PREP002_P8_X2	
SCW0112607	1250	7159	ZTF00032450	P919	RPMI001	2016-02-11 09:19:44 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X3	PREP002_P8_X3	
SCW0112625	1250	7159	ZTF00032448	P920	RPMI001	2016-02-11 10:16:48 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X1	PREP002_P8_X1	
SCW0112626	1250	7159	ZTF00032448	P920	RPMI001	2016-02-11 10:16:48 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X2	PREP002_P8_X2	
SCW0112627	1250	7159	ZTF00032448	P920	RPMI001	2016-02-11 10:16:48 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X3	PREP002_P8_X3	
SCW0112645	1250	7159	ZTF00032453	P921	RPMI001	2016-02-11 11:04:02 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X1	PREP002_P8_X1	
SCW0112646	1250	7159	ZTF00032453	P921	RPMI001	2016-02-11 11:04:02 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X2	PREP002_P8_X2	
SCW0112647	1250	7159	ZTF00032453	P921	RPMI001	2016-02-11 11:04:02 EST	B-REPO-002-01	C-7159-01-IPB-003					PREP002_P8_X3	PREP002_P8_X3	
SCW0116865	1250	7159	ZTF00032422	P922	RPMI001	2016-03-10 10:51:45 EST	B-REPO-002-01	C-7159-01-IPB-004					PREP002_P8_X1	PREP002_P8_X1	
SCW0116866	1250	7159	ZTF00032422	P922	RPMI001	2016-03-10 10:51:45 EST	B-REPO-002-01	C-7159-01-IPB-004					PREP002_P8_X2	PREP002_P8_X2	
SCW0116867	1250	7159	ZTF00032422	P922	RPMI001	2016-03-10 10:51:45 EST	B-REPO-002-01	C-7159-01-IPB-004					PREP002_P8_X3	PREP002_P8_X3	
SCW0113285	1250	7159	ZTF00032420	P923	RPMI001	2016-03-10 12:12:59 EST	B-REPO-002-01	C-7159-01-IPB-004					PREP002_P8_X1	PREP002_P8_X1	
SCW0113286	1250	7159	ZTF00032420	P923	RPMI001	2016-03-10 12:12:59 EST	B-REPO-002-01	C-7159-01-IPB-004					PREP002_P8_X2	PREP002_P8_X2	
SCW0113287	1250	7159	ZTF00032420	P923	RPMI001	2016-03-10 12:12:59 EST	B-REPO-002-01	C-7159-01-IPB-004					PREP002_P8_X3	PREP002_P8_X3
